Frequency,Nominal,Min,Max
2950,1.2815898395275501e-8,1.2599288127041955e-8,1.30467343613832e-8
3000,1.2862660736459172e-8,1.264034498415377e-8,1.3099734638515511e-8
3050,1.2910258689725313e-8,1.268213028476587e-8,1.315368942323841e-8
3100,1.2958694946840585e-8,1.272464609353434e-8,1.3208602196041396e-8
3150,1.3007972259993143e-8,1.2767894520383567e-8,1.3264476517339673e-8
3200,1.3058093442462721e-8,1.2811877720980265e-8,1.332131602840709e-8
3300,1.3160878977983866e-8,1.2902057297664436e-8,1.343790559488084e-8
3400,1.3267075307236288e-8,1.2995203002003999e-8,1.3558401678688837e-8
3500,1.3376707205196667e-8,1.3091333775214734e-8,1.3682836417607802e-8
3600,1.348980049025628e-8,1.3190469337077853e-8,1.3811243334991183e-8
3700,1.3606382046793702e-8,1.3292630201917413e-8,1.394365737124193e-8
3900,1.3850122979356701e-8,1.350611396787647e-8,1.4220653839317307e-8
4000,1.3977341661603707e-8,1.3617482017115161e-8,1.4365313527095354e-8
4100,1.4108167275168907e-8,1.3731965699022204e-8,1.4514134912069143e-8
4200,1.424263238411923e-8,1.3849589747765774e-8,1.4667160509119381e-8
4320,1.4408842286809088e-8,1.399492004032545e-8,1.4856403038503966e-8
4450,1.4594942621370278e-8,1.4157559415633085e-8,1.506841161639015e-8
4580,1.478740280592425e-8,1.4325664512979237e-8,1.5287798867145218e-8
4750,1.5048818571380917e-8,1.455384787987697e-8,1.558600803562017e-8
4880,1.5256283665936875e-8,1.4734814424890288e-8,1.5822853637939885e-8
5000,1.545369328053925e-8,1.4906907011207125e-8,1.6048368846571497e-8
5150,1.5708544489084148e-8,1.5128925741821594e-8,1.6339719765117125e-8
5300,1.5972529569143856e-8,1.5358724280062368e-8,1.6641770571914532e-8
5500,1.6339001650019782e-8,1.5677437532909722e-8,1.7061523628659126e-8
5650,1.6624948508677727e-8,1.5925876872215822e-8,1.7389398184929126e-8
5800,1.6920605088730268e-8,1.6182528230183333e-8,1.772873367305941e-8
6000,1.7330248440737368e-8,1.653775164682249e-8,1.8199447410446097e-8
6150,1.7649317055614572e-8,1.6814129787384092e-8,1.856652806637921e-8
6300,1.797876476015985e-8,1.7099220007850653e-8,1.8945958733363e-8
6450,1.8318812149745664e-8,1.7393186586183413e-8,1.9338033425073054e-8
6600,1.8669689498454846e-8,1.7696200741076328e-8,1.9743059580398863e-8
6750,1.9031637090288446e-8,1.8008440847740517e-8,2.016135856957892e-8
6880,1.9354473056125966e-8,1.8286655093902456e-8,2.0534879804011286e-8
7000,1.966016921349331e-8,1.8549851106419538e-8,2.088893766725598e-8
7150,2.005289210613412e-8,1.8887622695873604e-8,2.134431382301125e-8
7320,2.0512551915862572e-8,1.9282464313768823e-8,2.187805254718113e-8
7500,2.101658460256483e-8,1.9714803998467038e-8,2.24642389048411e-8
7650,2.145060622511302e-8,2.0086576167267825e-8,2.296977487187456e-8
7800,2.1897691864584465e-8,2.0469043571274744e-8,2.3491272064984178e-8
8000,2.2514707935574472e-8,2.0996061400812623e-8,2.4212219022237535e-8
8200,2.3156376526654464e-8,2.1543135719147992e-8,2.49634856099371e-8
8400,2.382357516773224e-8,2.2110905002218242e-8,2.574627204198328e-8
8600,2.451723002061082e-8,2.2700041081285045e-8,2.6561849316804e-8
8800,2.523831855371016e-8,2.3311250792755387e-8,2.741156352772794e-8
9000,2.598787241124624e-8,2.3945277739008787e-8,2.8296840510773378e-8
9200,2.6766980491975193e-8,2.4602904168316476e-8,2.9219190858031163e-8
9400,2.7576792253831904e-8,2.5284952982513226e-8,3.018021532735544e-8
9600,2.841852126213695e-8,2.599228988171497e-8,3.1181610681875455e-8
9800,2.9293449000528036e-8,2.6725825656069784e-8,3.22251759959315e-8
10000,3.020292896539894e-8,2.7486518635292222e-8,3.331281946744487e-8
10200,3.114839106641749e-8,2.827537730756429e-8,3.4446565780482026e-8
10400,3.2131346357653696e-8,2.9093463120300056e-8,3.56285640658998e-8
10600,3.3153392125998055e-8,2.9941893476267515e-8,3.6861096512493545e-8
10800,3.4216217365901736e-8,3.0821844939650454e-8,3.814658768604846e-8
11000,3.532160867204325e-8,3.173455666782019e-8,3.9487614619153985e-8
11200,3.647145658433784e-8,3.268133408588102e-8,4.0886917740619706e-8
11500,3.828399456923668e-8,3.416840279709916e-8,4.310156935862844e-8
