Frequency,Nominal,Min,Max
2950,-183.21774668826032,-183.4209163474348,-183.02034159847858
3000,-183.2734885063064,-183.48033932606393,-183.07253188470506
3050,-183.32929201500602,-183.53983632556645,-183.12477322319506
3100,-183.38515832701546,-183.59940869396118,-183.17706652651322
3150,-183.44108855933484,-183.65905778517262,-183.22941271038286
3200,-183.49708383339222,-183.71878495914788,-183.28181269374645
3300,-183.60927401508292,-183.838479025999,-183.386777751184
3400,-183.72173793531476,-183.9585018990466,-183.49196911705883
3500,-183.83448473367048,-184.07886468683816,-183.59739426503248
3600,-183.94752362890884,-184.19957860586723,-183.70306072619982
3700,-184.0608639218352,-184.32065498458067,-183.8089760911252
3900,-184.2884863317867,-184.5639410192153,-184.02158420429868
4000,-184.4027874872146,-184.68617392899057,-184.1282924498086
4100,-184.51742812325296,-184.80881581475833,-184.2352805979106
4200,-184.63241799585452,-184.93187862773263,-184.34255656823674
4320,-184.77088072026822,-185.08012665849336,-184.47167891599523
4450,-184.92148552572905,-185.24145690237577,-184.61205834848565
4580,-185.07273963132627,-185.40357110523317,-184.75297204229
4750,-185.2715506865339,-185.61679572817243,-184.93808021008127
4880,-185.42438969223338,-185.78082575807352,-185.08029661097163
5000,-185.5661148883657,-185.93301631627097,-185.21210126107297
5150,-185.74416858228076,-186.12434118420975,-185.37759319981978
5300,-185.92325368896294,-186.31691634376068,-185.5439307258001
5500,-186.16370344513413,-186.57570927693212,-185.76708158856033
5650,-186.34534290327082,-186.7713858243167,-185.93551019610405
5800,-186.52814220912055,-186.96847294308992,-186.10488686366116
6000,-186.77374847863277,-187.23353736751648,-186.3322524852387
6150,-186.95941201264054,-187.43411409284255,-186.50396657387833
6300,-187.1463728477504,-187.63627427895912,-186.67673758726573
6450,-187.33467417962396,-187.84007254764936,-186.85059956681462
6600,-187.5243601784326,-188.04556489622843,-187.02558723865818
6750,-187.7154760307722,-188.2528087601478,-187.2017360415331
6880,-187.88230207969315,-188.43388240629858,-187.35536550875295
7000,-188.0373060108121,-188.6022682470182,-187.49799628651078
7150,-188.23246392452592,-188.81447526653957,-187.67742042957926
7320,-188.45558581054357,-189.0573681970003,-187.88233859911531
7500,-188.69416142816075,-189.31742021939505,-188.1011909956212
7650,-188.8948679729071,-189.5364684885353,-188.28509448841044
7800,-189.09735304237057,-189.75771648249886,-188.47042970883575
8000,-189.37019509563004,-190.0562596100704,-188.7198436882384
8200,-189.64643164276632,-190.35901648063137,-188.9719812884343
8400,-189.9262022728232,-190.6661699548199,-189.2269489454093
8600,-190.2096518242613,-190.97791056754645,-189.484856667079
8800,-190.4969306918903,-191.29443701176635,-189.74581822731923
9000,-190.78819515340888,-191.61595665626626,-190.00995137122362
9200,-191.0836077170919,-191.94268610036065,-190.27737803239845
9400,-191.38333749229423,-192.27485176866657,-190.54822456316938
9600,-191.68756058458823,-192.61269054942923,-190.82262197864569
9800,-191.9964605175126,-192.95645048020424,-191.10070621566157
10000,-192.3102286830855,-193.3063914850729,-191.3826184077003
10200,-192.62906482342981,-193.6627861679773,-191.6685051769945
10400,-192.95317754606995,-194.02592066721445,-191.9585189450978
10600,-193.2827848756953,-194.39609557663442,-192.25281826332966
10800,-193.6181148454427,-194.77362693964204,-192.55156816461277
11000,-193.95940613103352,-195.15884732272326,-192.8549405383547
11200,-194.30690873141546,-195.5521069759026,-193.16311453016223
11500,-194.84038557719273,-196.15788319927898,-193.63478945083182
11800,-195.38937000201403,-196.78391641480493,-194.11835567399575
12000,-195.76447109178991,-197.21323552101006,-194.44768826854124
12200,-196.14723095385844,-197.65265820545636,-194.78284304056893
12500,-196.7364694401614,-198.33180905242764,-195.2970038622142
12800,-197.34490720616944,-199.03656252392557,-195.82562314336337
