Frequency,Nominal,Min,Max
10000,-26.722719831995718,-29.359232762318562,-24.123904180837705
10200,-25.85765837873884,-28.51710695866005,-23.233091756353666
10400,-25.00152065480031,-27.684585134039082,-22.350401440533858
10600,-24.15373281099307,-26.861110190490194,-21.475237097553066
10800,-23.31374713701443,-26.046151901796698,-20.607027675959642
11000,-22.48103987320606,-25.239204760441424,-19.7452249640897
11200,-21.655109206065163,-24.43978601048137,-18.889301525426365
11500,-20.42787066432971,-23.253768738119135,-17.61533223788608
11800,-19.213250180977152,-22.082177013169918,-16.35180506932909
12000,-18.40978519491541,-21.308439249633505,-15.514476023915769
12200,-17.610857261267167,-20.54009918211106,-14.680638616924423
12500,-16.42009129087562,-19.39688331526275,-13.435473079902627
12800,-15.237310466172467,-18.26373378752583,-12.195740532387164
13000,-14.452599171784852,-17.513312833559652,-11.371578671321586
13200,-13.670509248667768,-16.766510032652455,-10.548803608771806
13500,-12.501511335473044,-15.652380384268735,-9.316366485322135
13800,-11.336434809811164,-14.54459701193878,-8.08481548583176
14000,-10.561327572977762,-13.80909118839763,-7.263621776372416
14200,-9.787117566261061,-13.075651078398314,-6.4418464388677235
14500,-8.626761065662658,-11.978727373382622,-5.207243316764945
14800,-7.466571689951584,-10.884831251253992,-3.969144366834451
15000,-6.692662317817327,-10.156781526860765,-3.141150479519575
15500,-4.753948248139749,-8.33889712546283,-1.0591923395005125
16000,-2.8055341775887026,-6.52081386155452,1.0449438244095266
16500,-0.8422667772300965,-4.698316209066556,3.1778266091653067
17000,1.141143641650833,-2.867183807868029,5.3463779972488625
17500,3.1501926776806277,-1.0231424411913592,7.557972762787748
18000,5.190653634432975,0.8381854228322371,9.82053301452394
18500,7.268650397945447,2.72133128792306,12.14259951377082
19000,9.39072696030728,4.63103278988476,14.53333545681619
19500,11.563902240170114,6.5722867895713115,17.002359786680493
20000,13.795684152784846,8.550401086315667,19.559173115749683
20500,16.093985344860798,10.571038937344097,22.21163095735963
21000,18.46681461715364,12.64024348083746,24.962216654050188
21500,20.921468481665286,14.764414706984688,27.799362478978317
22000,23.462620768456212,16.950181871602997,30.678502129569566
22500,26.088016656408016,19.204052444652525,33.48681933596501
23000,28.779164415867292,21.531589687146955,36.00414506124817
23500,31.482764689086963,23.93560398146861,37.988885377904
24000,34.08065112459959,26.412313209777864,39.51004593469613
24500,36.36704405840893,28.94350668762997,40.87705558907218
25000,38.10150363550984,31.481787317717252,42.2776959924314
25500,39.17547591619787,31.895922681773385,43.44099283673164
26000,39.70850610140895,32.08763928411881,44.72080591081149
27000,39.98791209256966,32.64629554588098,46.580801275107746
27500,39.996708550062856,32.99737348866147,46.99721525049754
28000,39.98538806180545,33.16176171403494,47.12788135418975
28500,39.9658177483954,33.059531918822124,47.13983075501544
29000,39.940445711052476,32.967720286573524,47.12504298081096
29500,39.9091335109759,32.905707631291484,47.13246947026746
30000,39.871591277363535,32.873815708392314,47.09703556656977
30500,39.828087185251796,32.870541825586,47.02762920422977
31000,39.779636270946504,32.89282204214536,46.969097515154196
31500,39.727977693244725,32.93649527134156,46.91727070491429
32000,39.67516500532455,32.95867732510682,46.95247476590036
33000,39.56746607302497,32.2705781283,46.70215246677635
34000,39.39978380512826,31.703329505622953,45.59892501147629
35000,38.90135447297543,31.323691130757236,43.83099699363914
36000,37.538514969579026,31.081680567671373,41.949374919971234
37000,35.05140711158388,27.72051066403549,40.07365807431996
39000,28.628000208350947,21.547004201167287,36.00811857692787
40000,25.52458309491618,18.852186440783825,33.21332201105173
41000,22.65689961484543,16.383125993779746,30.145795480782006
42000,20.023868196394716,14.109574438144483,27.13961423540322
43200,17.141955202433014,11.602447441196642,23.781670019124288
44500,14.31330672700819,9.11773176998824,20.484770947101417
45800,11.741402289484125,6.836512037445951,17.510556587984258
47500,8.699023514690506,4.110861702465618,14.03139827314025
48800,6.577857001907699,2.19358763522182,11.632001331351914
50000,4.754003748632922,0.5343320942243733,9.585767319344312
51500,2.6309620714301274,-1.409116184314843,7.222596709563639
53000,0.6590774721493753,-3.225292840603639,5.04474492255045
55000,-1.7692148308492968,-5.4758246992084985,2.383901355701229
56500,-3.460427327071386,-7.051927556215556,0.5435815625445629
58000,-5.054630523754506,-8.543860988586637,-1.1821184452233846
60000,-7.0475774186986415,-10.417099417512159,-3.327817291971072
61500,-8.454220048271925,-11.74446367658769,-4.834930230463177
63000,-9.793627088692434,-13.012223877179787,-6.264662680552391
64500,-11.072106336966456,-14.225683817989207,-7.624722933669535
66000,-12.295126079298145,-15.389473615887008,-8.921736923712782
67500,-13.46745599986191,-16.50765792547285,-10.161439292093405
68800,-14.445719907316779,-17.442644360619685,-11.19336621472069
70000,-15.31983243767982,-18.27950866736398,-12.113532234422182
71500,-16.376134224617562,-19.292535830960944,-13.223182355180928
73200,-17.528003941844506,-20.399312987121373,-14.430461132497934
75000,-18.69934565983508,-21.526963034643423,-15.655312421242655
76500,-19.640418496134934,-22.43445734875628,-16.63738804287149
78000,-20.55188421973158,-23.314651734287544,-17.586942801836386
80000,-21.72436986249448,-24.448658274021703,-18.806166188852945
82000,-22.851589811823253,-25.540669337752032,-19.9760221691323
84000,-23.937085553678337,-26.593846342706456,-21.100541360051253
86000,-24.983995243542658,-27.611002310796444,-22.183278261953813
88000,-25.99511237762542,-28.594651075488848,-23.227382848180063
90000,-26.972934246783517,-29.547048152838727,-24.235659291941865
