Frequency,Nominal,Min,Max
10000,-6.6744649319859395,-6.705498771269889,-6.645480016357075
10200,-6.684369214284793,-6.716513946103591,-6.654400902811258
10400,-6.694420709302277,-6.727715436584466,-6.663437882636621
10600,-6.704625062524149,-6.739110909618635,-6.672595120511888
10800,-6.714988150273164,-6.750708383675575,-6.681876932619094
11000,-6.7255160932400395,-6.762516251445751,-6.69128779474603
11200,-6.73621527094822,-6.774543304245435,-6.7008323508892325
11500,-6.752599736975043,-6.793015139084554,-6.715410458955448
11800,-6.769408223080561,-6.812034032916625,-6.730317342598621
12000,-6.780861877159083,-6.825034678104322,-6.740446811420243
12200,-6.792523128412502,-6.83830544324265,-6.7507360586321665
12500,-6.810422512519488,-6.858744087480035,-6.766482415394987
12800,-6.828837457332607,-6.879859847261875,-6.782622387810587
13000,-6.84141616385361,-6.894335844916924,-6.793611954740308
13200,-6.854248172135091,-6.90914787955229,-6.804793245811478
13500,-6.873994344450988,-6.9320301499739925,-6.821940617303193
13800,-6.8943722356644805,-6.95575981904759,-6.839561643133373
14000,-6.908328555593129,-6.972080474597327,-6.851585736049642
14200,-6.922596750598935,-6.988824541723098,-6.863841308266219
14500,-6.944613947543065,-7.01478053662526,-6.882678748111957
14800,-6.967413316723863,-7.0418126997563695,-6.9020903026508895
15000,-6.98307383236984,-7.060473159596659,-6.915367548937962
15500,-7.023965298987854,-7.109561668794215,-6.949819341530983
16000,-7.067586271340444,-7.16252475081448,-6.986224111654322
16500,-7.114284480641908,-7.2199361238327615,-7.024798902212683
17000,-7.164469012152549,-7.282491013285268,-7.065793118805973
17500,-7.218625367939644,-7.351042444695757,-7.109495181164437
18000,-7.277335410461875,-7.426651989092836,-7.156240953195599
18500,-7.341304200045521,-7.510662220897484,-7.2064245552118775
19000,-7.411396746207871,-7.604802404172462,-7.260512412807409
19500,-7.4886892739161155,-7.711345713573605,-7.319061770578221
20000,-7.574542097977112,-7.833346458037544,-7.382745462831376
20500,-7.6707050829586665,-7.974997994840791,-7.452385593372064
21000,-7.77947245490026,-8.14215377092972,-7.5290000949152835
21500,-7.903911250003536,-8.34298743722097,-7.613868151374624
22000,-8.048193066070858,-8.58842403978493,-7.70862346443832
22500,-8.218043574646192,-8.890806665920515,-7.815388502926647
23000,-8.421220636927979,-9.257008562966636,-7.936967502647258
23500,-8.667537028365622,-9.674071599771928,-8.077116896620819
24000,-8.966873711712555,-10.103562936516004,-8.240892864304914
24500,-9.322282403780747,-10.506059843936919,-8.434984506459553
25000,-9.718779515938124,-10.866466131931958,-8.667638971059556
25500,-10.122385593656007,-11.189281350924158,-8.947047573955784
26000,-10.501012142755368,-11.484350601390458,-9.276216639541206
27000,-11.149855461605778,-12.021993261593078,-10.025374487973156
27500,-11.431580676698587,-12.273998302744328,-10.389712878696418
28000,-11.694839003584157,-12.518554332265554,-10.722497561120875
28500,-11.944833761428056,-12.757528529747603,-11.023331825418548
29000,-12.18505250587087,-12.992471536247438,-11.298293685146334
29500,-12.417872362727799,-13.224857853014283,-11.554030238657095
30000,-12.645024913541306,-13.456318139660025,-11.795742183573509
30500,-12.867893602618189,-13.688896055427259,-12.027072183490429
31000,-13.087711479176273,-13.925297600489486,-12.250519653677296
31500,-13.305729323644533,-14.169022474062768,-12.467858684035502
32000,-13.523395012689233,-14.424145268613533,-12.68043577199408
