Frequency,Nominal,Min,Max
10000,-5.655054872623766,-6.2622059440492075,-5.113330196787174
10200,-5.848717050796837,-6.489561645377189,-5.278995586512079
10400,-6.048786241583237,-6.725319274972298,-5.449543969120342
10600,-6.255585607412745,-6.969934726309594,-5.625204157060276
10800,-6.469455908767421,-7.223890716907262,-5.806216401575659
11000,-6.690756572957384,-7.48769847689736,-5.992833052874563
11200,-6.919866820714199,-7.761899521479438,-6.185319256435828
11500,-7.279056639581959,-8.193952627608391,-6.485667461354871
11800,-7.658169482187005,-8.652771259656266,-6.8008542447427605
12000,-7.922748870702296,-8.974632758451268,-7.019752516847044
12200,-8.197374397906767,-9.310116821134924,-7.246065050263631
12500,-8.62930541967731,-9.840569787813122,-7.600225367132448
12800,-9.086924961096157,-10.406174557158666,-7.9731701452145725
13000,-9.407284855396,-10.804249953627497,-8.232919582831942
13200,-9.74062396498035,-11.220236426303108,-8.502074820403081
13500,-10.266481694892615,-11.880017216836514,-8.924463041692599
13800,-10.825574300366176,-12.586003501630866,-9.37072782794685
14000,-11.218079593700347,-13.084247786478418,-9.682384294023818
14200,-11.62738522845023,-13.605984037842832,-10.006015184252439
14500,-12.274795415922133,-14.435451536469936,-10.515224483820054
14800,-12.965185882455215,-15.325209159255758,-11.054860578108011
15000,-13.450991820513318,-15.954225226930593,-11.432649086812546
15500,-14.762721307845089,-17.662938723760554,-12.445549316211391
16000,-16.22764297715061,-19.584975848540424,-13.566116320497251
16500,-17.864722761518166,-21.743279584491006,-14.807861333471505
17000,-19.693588102656857,-24.15788415405496,-16.18554068130336
17500,-21.733362152542984,-26.84209737282667,-17.71492507956999
18000,-24.000762291186916,-29.79710874814421,-19.412327809850034
18500,-26.507239894335488,-33.005161206615945,-21.293778075330398
19000,-29.25501145312617,-36.42213504415949,-23.373700403789897
19500,-32.23205312043402,-39.97138045236856,-25.66295241533887
20000,-35.40655960788747,-43.541466715388886,-28.166106694612104
20500,-38.7219793565359,-46.99039866020335,-30.877973983136613
21000,-42.0943219331431,-50.1571524540497,-33.77959082423448
21500,-45.413566279319056,-52.87852571367701,-36.834241711467
22000,-48.55024225347707,-55.00699144396472,-39.98448111753772
22500,-51.36661329481976,-56.42521290123991,-43.15137427821972
23000,-53.73010727082357,-57.324733177042724,-46.23702056707861
23500,-55.52585663232713,-57.52986267140663,-49.13069318989335
24000,-56.66597505834433,-57.548004283106046,-51.71779256761502
24500,-57.09494175473564,-57.57593684178235,-53.88981697856771
25000,-56.79198197697236,-57.43421772927741,-51.67139982213071
25500,-55.77176686976937,-57.53555560449362,-48.72275920656881
26000,-54.084080996295704,-57.550052231157125,-45.406201654963226
27000,-49.06683167321548,-56.07320526715123,-38.321478400701814
27500,-45.98001928593369,-54.64195328291567,-34.83754260937426
28000,-42.69023833917405,-52.67032360173088,-31.530914209387667
28500,-39.32999092178899,-50.24410213922481,-28.46206705190928
29000,-36.01362703349398,-47.46726981618674,-25.661283753945455
29500,-32.829847821378614,-44.45383359152076,-23.13586126886023
30000,-29.839517001897978,-41.317906555966374,-20.87752894793848
30500,-27.077889396093816,-38.16396705163608,-18.868717833386984
31000,-24.559436121656923,-35.07934896295521,-17.087223211977243
31500,-22.283472114334057,-32.130236430420524,-15.50934739426934
32000,-20.23935535708476,-29.361248304737362,-14.111835755562765
33000,-16.778262654611368,-24.449609412327618,-11.77298439349824
34000,-14.023512568280193,-20.38608639066183,-9.92181362046032
35000,-11.827134386347995,-17.085845331664114,-8.44275119966314
36000,-10.065101325154679,-14.422445423392388,-7.248683504192453
37000,-8.639709453470331,-12.27104757793257,-6.2745766797150155
39000,-6.51714360882447,-9.096867650747962,-4.804046030637034
40000,-5.719840919234261,-7.920360669979296,-4.243510822474499
41000,-5.05117245696929,-6.942872952497571,-3.7691306134197617
42000,-4.485841987725758,-6.124130881898681,-3.3645976481421744
43200,-3.916598282437823,-5.30784301492627,-2.953652073458643
44500,-3.406427908686598,-4.5840534748114035,-2.581900089304836
45800,-2.9832959972648325,-3.989961257086544,-2.270805425516171
47500,-2.5315060650576133,-3.3625114749828113,-1.9355472337878679
48800,-2.2467818723596,-2.971069377470899,-1.7224465933901087
50000,-2.021129856379675,-2.6632049039480576,-1.5524645371758166
51500,-1.7799278668082503,-2.336592512569588,-1.3696105305856714
53000,-1.5756932131055972,-2.062160295101601,-1.2137689882512086
55000,-1.3489652142165178,-1.7599461988979888,-1.0395765216130917
56500,-1.2063001631506691,-1.5711890152535575,-0.9292716481273016
58000,-1.0826080443525912,-1.4084704966723591,-0.8331630263470083
60000,-0.9418420457221434,-1.224412498916069,-0.7232099324966591
61500,-0.8512112936445587,-1.106577710444838,-0.6520658785996719
63000,-0.7712207585460811,-1.0030377594828361,-0.5890269082298888
64500,-0.7003014065430372,-0.9116193749061263,-0.5329290626283532
66000,-0.6371591962231048,-0.8305417115163672,-0.48280711859737446
67500,-0.5807196825975859,-0.7583349975284476,-0.4378555612916992
68800,-0.5365294318422129,-0.7019821805463027,-0.40255429765414824
70000,-0.4991761249228721,-0.6544788079351919,-0.37263768676324693
71500,-0.4565985662569862,-0.6004843011993132,-0.3384453639545749
73200,-0.4132036782649957,-0.5456291143346289,-0.3034891813305916
75000,-0.3721395965008894,-0.4938932315159046,-0.2703024028458273
76500,-0.3412617673882286,-0.4551081801833423,-0.24527278675581465
78000,-0.3130554536677069,-0.41977191890565846,-0.22234781434317208
80000,-0.2790984552357729,-0.37735649843130453,-0.1946652386708321
82000,-0.24877628987461903,-0.33960480987887787,-0.16986128430603703
84000,-0.22159374572259907,-0.30586864922643164,-0.1475506041439715
86000,-0.1971357919369041,-0.2756068704033515,-0.12740917924101067
88000,-0.17505264393960526,-0.24836504496931702,-0.10916309015515578
90000,-0.1550479558386211,-0.22375946543576555,-0.09257959935754596
